citizen-id,age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,native-country,salary-class
1001,39, State-gov, Bachelors,13, Never-married, Adm-clerical, White, Male,40, United-States, <=50K
1002,50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,13, United-States, <=50K
1003,38, Private, HS-grad,9, Divorced, Handlers-cleaners, White, Male,40, United-States, <=50K
1004,53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Black, Male,40, United-States, <=50K
1005,28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Black, Female,40, Cuba, <=50K
1006,37, Private, Masters,14, Married-civ-spouse, Exec-managerial, White, Female,40, United-States, <=50K
1007,49, Private, 9th,5, Married-spouse-absent, Other-service, Black, Female,16, Jamaica, <=50K
1008,52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K
1009,31, Private, Masters,14, Never-married, Prof-specialty,Unknown, Female,50, United-States, >50K
1010,42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K
1011,37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Black, Male,80, United-States, >50K
1012,30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, India, >50K
1013,23, Private, Bachelors,13, Never-married, Adm-clerical, White, Female,30, United-States, <=50K
1014,32, Private, Assoc-acdm,12, Never-married, Sales, Black, Male,, United-States, <=50K
1015,40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40,Unknown, >50K
1016,34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
1017,25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, White, Male,35, United-States, <=50K
1018,32, Private, HS-grad,9, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K
1019,38, Private, 11th,7, Married-civ-spouse, Sales, White, Male,, United-States, <=50K
1020,43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, White, Female,, United-States, >50K
1021,40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, White, Male,, United-States, >50K
1022,54, Private, HS-grad,9, Separated, Other-service, Black, Female,, United-States, <=50K
1023,35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Black, Male,, United-States, <=50K
1024,43, Private, 11th,7, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K
1025,59, Private, HS-grad,9, Divorced, Tech-support, White, Female,40, United-States, <=50K
1026,56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K
1027,19, Private, HS-grad,9, Never-married, Craft-repair, White, Male,40, United-States, <=50K
1028,54,Unknown, Some-college,10, Married-civ-spouse,Unknown, Asian-Pac-Islander, Male,60, South, >50K
1029,39, Private, HS-grad,9, Divorced, Exec-managerial, White, Male,80, United-States, <=50K
1030,49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
1031,23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, White, Male,52, United-States, <=50K
1032,20, Private, Some-college,10, Never-married, Sales, Black, Male,44, United-States, <=50K
1033,45, Private, Bachelors,13, Divorced, Exec-managerial, White, Male,40, United-States, <=50K
1034,30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K
1035,22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Black, Male,15, United-States, <=50K
1036,48, Private, 11th,7, Never-married, Machine-op-inspct,Unknown, Male,40, Puerto-Rico, <=50K
1037,21, Private, Some-college,10, Never-married, Machine-op-inspct,Unknown, Male,40, United-States, <=50K
1038,19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical,Unknown, Female,25, United-States, <=50K
1039,31, Private, Some-college,10, Married-civ-spouse, Sales,Unknown, Male,38,Unknown, >50K
1040,48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty,Unknown, Male,40, United-States, <=50K
1041,31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct,Unknown, Male,43, United-States, <=50K
1042,53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty,Unknown, Male,40, United-States, <=50K
1043,24, Private, Bachelors,13, Married-civ-spouse, Tech-support,Unknown, Male,50, United-States, <=50K
1044,49, Private, HS-grad,9, Separated, Adm-clerical,Unknown, Female,40, United-States, <=50K
1045,25, Private, HS-grad,9, Never-married, Handlers-cleaners,Unknown, Male,35, United-States, <=50K
1046,57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty,Unknown, Male,40, United-States, >50K
1047,53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct,Unknown, Male,38, United-States, <=50K
1048,44, Private, Masters,14, Divorced, Exec-managerial, White, Female,40, United-States, <=50K
1049,41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
1050,29, Private, Assoc-voc,11, Never-married, Prof-specialty, White, Male,, United-States, <=50K
1051,25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Other, Female,, United-States, <=50K
1052,18, Private, HS-grad,9, Never-married, Other-service, White, Female,,Unknown, <=50K
1053,47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, White, Female,, Honduras, >50K
1054,50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, White, Male,, United-States, >50K
1055,47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, White, Male,60, United-States, <=50K
1056,43, Private, Some-college,10, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K
1057,46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, White, Male,40, Mexico, <=50K
1058,35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, White, Male,40, Puerto-Rico, <=50K
1059,41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, White, Male,48, United-States, <=50K
1060,30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K
1061,30, Private, Bachelors,13, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K
1062,32,Unknown, 7th-8th,4, Married-spouse-absent,Unknown, White, Male,40,Unknown, <=50K
1063,48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K
1064,42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K
1065,29, Private, Some-college,10, Divorced, Tech-support, White, Male,58, United-States, <=50K
1066,36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
1067,28, Private, Some-college,10, Divorced, Adm-clerical, White, Female,40, United-States, <=50K
1068,53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, White, Female,40, United-States, >50K
1069,49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, White, Male,50, United-States, >50K
1070,25,Unknown, Some-college,10, Never-married,Unknown, White, Male,40, United-States, <=50K
1071,19, Private, Some-college,10, Never-married, Prof-specialty, White, Male,32, United-States, <=50K
1072,31, Private, Bachelors,13, Separated, Sales, Black, Female,40, United-States, <=50K
1073,29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, White, Male,70, United-States, >50K
1074,23, Private, Some-college,10, Never-married, Machine-op-inspct,Unknown, Male,, United-States, <=50K
1075,79, Private, Some-college,10, Married-civ-spouse, Prof-specialty,Unknown, Male,, United-States, <=50K
1076,27, Private, HS-grad,9, Never-married, Other-service,Unknown, Male,, Mexico, <=50K
1077,40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical,Unknown, Male,, United-States, <=50K
1078,67,Unknown, 10th,6, Married-civ-spouse,Unknown,Unknown, Male,, United-States, <=50K
1079,18, Private, 11th,7, Never-married, Other-service,Unknown, Female,22, United-States, <=50K
1080,31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing,Unknown, Male,40, United-States, <=50K
1081,18, Private, HS-grad,9, Never-married, Sales,Unknown, Male,30, United-States, <=50K
1082,52, Private, Bachelors,13, Married-civ-spouse, Other-service,Unknown, Male,40, Cuba, <=50K
1083,46, Private, HS-grad,9, Married-civ-spouse, Other-service,Unknown, Female,40, United-States, <=50K
1084,59, Private, HS-grad,9, Married-civ-spouse, Sales,Unknown, Male,48, United-States, <=50K
1085,44, Private, HS-grad,9, Divorced, Craft-repair,Unknown, Female,40, United-States, >50K
1086,53, Private, HS-grad,9, Divorced, Sales, White, Female,35, United-States, <=50K
1087,49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, White, Male,40, United-States, >50K
1088,33, Private, Masters,14, Married-civ-spouse, Prof-specialty, White, Male,50, United-States, <=50K
1089,30, Private, 9th,5, Never-married, Sales, White, Male,40, United-States, <=50K
1090,43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, White, Female,50, United-States, >50K
1091,57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, <=50K
1092,37, Private, Some-college,10, Divorced, Craft-repair, White, Female,40, United-States, <=50K
1093,28, Private, Some-college,10, Divorced, Machine-op-inspct, Black, Female,25, United-States, <=50K
1094,30, Private, HS-grad,9, Married-civ-spouse, Sales, Asian-Pac-Islander, Female,35,Unknown, <=50K
1095,34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, White, Male,40, United-States, >50K
1096,29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, White, Male,50, United-States, <=50K
1097,48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, White, Male,60, United-States, >50K
1098,37, Private, Some-college,10, Married-civ-spouse, Sales, White, Male,48, United-States, >50K
1099,48, Private, Assoc-acdm,12, Divorced, Exec-managerial, White, Female,40, England, <=50K
1100,32, Federal-gov, HS-grad,9, Never-married, Other-service, Black, Male,40, United-States, <=50K
1101,76, Private, Masters,14, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K
1102,44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,60, United-States, >50K
1103,47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, White, Female,50, United-States, <=50K
1104,20, Private, Some-college,10, Never-married, Tech-support, White, Female,40, United-States, <=50K
1105,29, Private, HS-grad,9, Never-married, Craft-repair, White, Male,40, United-States, <=50K
1106,32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K
1107,17,Unknown, 10th,6, Never-married,Unknown, White, Female,32, United-States, <=50K
1108,30, Private, 11th,7, Never-married, Handlers-cleaners, White, Male,40, United-States, <=50K
1109,31, Local-gov, HS-grad,9, Never-married, Adm-clerical, White, Female,40, United-States, <=50K
1110,42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, <=50K
1111,24, Private, Bachelors,13, Never-married, Sales, White, Male,40, United-States, <=50K
1112,38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K
1113,56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, White, Male,50, Canada, >50K
1114,28, Private, Some-college,10, Married-civ-spouse, Sales, White, Female,25, United-States, <=50K
1115,36, Private, HS-grad,9, Never-married, Machine-op-inspct, White, Female,40, United-States, <=50K
1116,53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, White, Male,, United-States, <=50K
1117,56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, White, Male,, United-States, <=50K
1118,49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Black, Male,, United-States, >50K
1119,55, Private, Some-college,10, Married-civ-spouse, Sales, White, Male,, United-States, <=50K
1120,22, Private, HS-grad,9, Never-married, Craft-repair, White, Male,, United-States, <=50K
1121,21, Private, Some-college,10, Never-married, Other-service, White, Female,, United-States, <=50K
1122,40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,, United-States, <=50K
1123,30, Private, Bachelors,13, Never-married, Exec-managerial, Black, Male,, Germany, <=50K
1124,29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,50, United-States, >50K
1125,19, Private, Some-college,10, Never-married, Other-service, Black, Male,35, United-States, <=50K
1126,47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial,Unknown, Female,40, United-States, >50K
1127,20, Private, Some-college,10, Never-married, Adm-clerical,Unknown, Female,28, United-States, <=50K
1128,31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical,Unknown, Male,40, United-States, >50K
1129,35,Unknown, HS-grad,9, Married-civ-spouse,Unknown,Unknown, Male,40, United-States, <=50K
1130,39, Private, Some-college,10, Divorced, Craft-repair, White, Male,40, United-States, <=50K
1131,28, Private, Assoc-acdm,12, Never-married, Sales, White, Female,60, United-States, <=50K
1132,24, Private, HS-grad,9, Never-married, Other-service, White, Female,40, United-States, <=50K
1133,38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,35, United-States, <=50K
1134,37, Private, Bachelors,13, Married-civ-spouse, Sales, White, Male,50, United-States, <=50K
1135,46, Private, Assoc-acdm,12, Divorced, Tech-support, Black, Female,36, United-States, <=50K
1136,38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, White, Male,40, Iran, >50K
