InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
537215,85064,CREAM SWEETHEART LETTER RACK,6,12/5/2010 15:38,5.45,47
537215,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,24,12/5/2010 15:38,1.65,47
538537,82482,WOODEN PICTURE FRAME WHITE FINISH,12,12/13/2010 10:41,2.55,47
538537,82484,WOOD BLACK BOARD ANT WHITE FINISH,12,12/13/2010 10:41,5.55,47
538537,21754,HOME BUILDING BLOCK WORD,3,12/13/2010 10:41,5.95,47
538537,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/13/2010 10:41,1.69,47
538537,82494,WOODEN FRAME ANTIQUE WHITE ,24,12/13/2010 10:41,2.55,47
538537,48138,DOORMAT UNION FLAG,2,12/13/2010 10:41,7.95,47
538537,22795,SWEETHEART RECIPE BOOK STAND,16,12/13/2010 10:41,5.95,47
537215,21136,PAINTED METAL PEARS ASSORTED,8,12/5/2010 15:38,1.69,47
538537,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,12,12/13/2010 10:41,1.65,47
537215,85124,GREEN JUICY FRUIT PHOTO FRAME,12,12/5/2010 15:38,2.55,47
537215,85124,BLUE JUICY FRUIT PHOTO FRAME,6,12/5/2010 15:38,2.55,47
537215,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/5/2010 15:38,1.69,47
537215,82484,WOOD BLACK BOARD ANT WHITE FINISH,36,12/5/2010 15:38,5.55,47
537871,22988,SOLDIERS EGG CUP ,7,12/8/2010 17:20,1.25,48
537140,21785,RAIN PONCHO ,1,12/5/2010 12:53,0.85,48
537140,21786,POLKADOT RAIN HAT ,1,12/5/2010 12:53,0.42,48
537140,21787,RAIN PONCHO RETROSPOT,1,12/5/2010 12:53,0.85,48
537140,21982,PACK OF 12 SUKI TISSUES ,3,12/5/2010 12:53,0.29,48
537140,20973,12 PENCIL SMALL TUBE WOODLAND,4,12/5/2010 12:53,0.65,48
537871,21683,MEDIUM MEDINA STAMPED METAL BOWL ,12,12/8/2010 17:20,2.95,48
537871,21231,SWEETHEART CERAMIC TRINKET BOX,4,12/8/2010 17:20,1.25,48
537871,21232,STRAWBERRY CERAMIC TRINKET BOX,4,12/8/2010 17:20,1.25,48
537871,85214,TUB 24 PINK FLOWER PEGS,2,12/8/2010 17:20,1.65,48
537871,82599,FANNY'S REST STOPMETAL SIGN,1,12/8/2010 17:20,2.1,48
537871,82582,AREA PATROLLED METAL SIGN,1,12/8/2010 17:20,2.1,48
