"iid";"id";"gender";"order";"age_o";"age";"race";"sports";"tvsports";"dining";"art";"hiking";"reading";"tv";"theater";"movies";"music";"shopping";"yoga";"fun";"goal"
1;1;0;4;27;21;4;9;2;9;1;5;6;9;1;10;9;8;1;7.0;2
1;1;0;3;22;21;4;9;2;9;1;5;6;9;1;10;9;8;1;8.0;2
1;1;0;10;22;21;4;9;2;9;1;5;6;9;1;10;9;8;1;8.0;2
1;1;0;5;23;21;4;9;2;9;1;5;6;9;1;10;9;8;1;7.0;2
1;1;0;7;24;21;4;9;2;9;1;5;6;9;1;10;9;8;1;7.0;2
1;1;0;6;25;21;4;9;2;9;1;5;6;9;1;10;9;8;1;4.0;2
1;1;0;1;30;21;4;9;2;9;1;5;6;9;1;10;9;8;1;4.0;2
1;1;0;2;27;21;4;9;2;9;1;5;6;9;1;10;9;8;1;6.0;2
1;1;0;8;28;21;4;9;2;9;1;5;6;9;1;10;9;8;1;9.0;2
1;1;0;9;24;21;4;9;2;9;1;5;6;9;1;10;9;8;1;8.0;2
2;2;0;10;27;24;2;3;2;10;6;3;10;1;9;8;8;3;1;4.0;1
2;2;0;9;22;24;2;3;2;10;6;3;10;1;9;8;8;3;1;6.0;1
2;2;0;6;22;24;2;3;2;10;6;3;10;1;9;8;8;3;1;6.0;1
2;2;0;1;23;24;2;3;2;10;6;3;10;1;9;8;8;3;1;6.0;1
2;2;0;3;24;24;2;3;2;10;6;3;10;1;9;8;8;3;1;9.0;1
2;2;0;2;25;24;2;3;2;10;6;3;10;1;9;8;8;3;1;3.0;1
2;2;0;7;30;24;2;3;2;10;6;3;10;1;9;8;8;3;1;6.0;1
2;2;0;8;27;24;2;3;2;10;6;3;10;1;9;8;8;3;1;5.0;1
2;2;0;4;28;24;2;3;2;10;6;3;10;1;9;8;8;3;1;9.0;1
2;2;0;5;24;24;2;3;2;10;6;3;10;1;9;8;8;3;1;7.0;1
3;3;0;6;27;25;2;3;8;8;5;8;7;8;7;7;5;8;7;7.0;6
3;3;0;5;22;25;2;3;8;8;5;8;7;8;7;7;5;8;7;8.0;6
3;3;0;2;22;25;2;3;8;8;5;8;7;8;7;7;5;8;7;7.0;6
3;3;0;7;23;25;2;3;8;8;5;8;7;8;7;7;5;8;7;7.0;6
3;3;0;9;24;25;2;3;8;8;5;8;7;8;7;7;5;8;7;10.0;6
3;3;0;8;25;25;2;3;8;8;5;8;7;8;7;7;5;8;7;7.0;6
3;3;0;3;30;25;2;3;8;8;5;8;7;8;7;7;5;8;7;7.0;6
3;3;0;4;27;25;2;3;8;8;5;8;7;8;7;7;5;8;7;8.0;6
3;3;0;10;28;25;2;3;8;8;5;8;7;8;7;7;5;8;7;9.0;6
3;3;0;1;24;25;2;3;8;8;5;8;7;8;7;7;5;8;7;7.0;6
4;4;0;3;27;23;2;1;1;7;7;7;7;7;9;7;7;1;8;5.0;1
