id,label,cap-shape,cap-surface,bruises,odor,gill-attachment,gill-spacing,gill-size,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,veil-type,ring-number,ring-type,spore-print-color,population,habitat,cap-color-rate,gill-color-rate,veil-color-rate,stalk-color-above-ring-rate,stalk-color-below-ring-rate
1,p,x,s,t,p,f,c,n,e,e,s,s,p,o,p,k,s,u,1,3,1,1,1
2,e,x,s,t,a,f,c,b,e,c,s,s,p,o,p,n,n,g,2,3,1,1,1
3,e,b,s,t,l,f,c,b,e,c,s,s,p,o,p,n,n,m,3,1,1,1,1
4,p,x,y,t,p,f,c,n,e,e,s,s,p,o,p,k,s,u,3,1,1,1,1
5,e,x,s,f,n,f,w,b,t,e,s,s,p,o,e,n,a,g,4,3,1,1,1
6,e,x,y,t,a,f,c,b,e,c,s,s,p,o,p,k,n,g,2,1,1,1,1
7,e,b,s,t,a,f,c,b,e,c,s,s,p,o,p,k,n,m,3,2,1,1,1
8,e,b,y,t,l,f,c,b,e,c,s,s,p,o,p,n,s,m,3,1,1,1,1
9,p,x,y,t,p,f,c,n,e,e,s,s,p,o,p,k,v,g,3,4,1,1,1
10,e,b,s,t,a,f,c,b,e,c,s,s,p,o,p,k,s,m,2,2,1,1,1
11,e,x,y,t,l,f,c,b,e,c,s,s,p,o,p,n,n,g,2,2,1,1,1
12,e,x,y,t,a,f,c,b,e,c,s,s,p,o,p,k,s,m,2,1,1,1,1
13,e,b,s,t,a,f,c,b,e,c,s,s,p,o,p,n,s,g,2,5,1,1,1
14,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,6,1,2,5
15,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,5,1,1,4
16,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,2,4
17,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,4,1,1,1
18,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,5,1,1,5
19,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,4,1,1,1
20,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,1,1,2,1
21,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,5,1,3,5
22,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,5,1,2,5
23,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,4,1,1,4
24,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,5,1,1,5
25,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,6,1,1,4
26,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,6,1,2,5
27,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,5,1,3,1
28,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,6,1,2,5
29,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,2,1
30,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,5,1,2,1
31,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,2,4
32,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,3,5
33,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,1,1,1,5
34,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,6,1,1,4
35,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,6,1,2,4
36,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,5,1,3,4
37,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,4,1,1,5
38,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,6,1,1,5
39,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,5,1,1,4
40,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,1,1,2,5
41,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,6,1,2,1
42,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,6,1,1,5
43,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,6,1,2,1
44,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,5,1,1,1
45,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,4,1,2,5
46,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,6,1,3,5
47,e,x,f,f,n,f,w,b,t,e,s,f,p,o,e,n,s,g,3,7,1,1,1
48,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,5,1,3,4
49,e,f,s,f,n,f,w,b,t,e,f,f,p,o,e,n,s,g,4,1,1,1,1
50,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,6,1,3,1
51,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,5,1,1,1
52,p,f,y,t,p,f,c,n,e,e,s,s,p,o,p,n,s,u,3,5,1,1,1
53,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,1,1,1,4
54,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,5,1,1,1
55,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,5,1,3,4
56,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,1,1,2,4
57,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,1,1,3,1
58,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,4,1,2,4
59,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,1,1,2,1
60,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,1,1,2,4
61,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,1,1,1,1
62,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,4,1,3,1
63,e,x,y,t,n,f,,,,,,,,,,,,,4,,,,
64,e,x,y,t,n,f,,,,,,,,,,,,,1,,,,
65,e,x,f,t,n,f,,,,,,,,,,,,,5,,,,
66,e,f,f,t,n,f,,,,,,,,,,,,,1,,,,
