date,cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,2
3/3/2020,2
3/4/2020,2
3/5/2020,2
3/6/2020,4
3/7/2020,4
3/8/2020,6
3/9/2020,19
3/10/2020,27
3/11/2020,34
3/12/2020,34
3/13/2020,69
3/14/2020,96
3/15/2020,117
3/16/2020,134
3/17/2020,172
3/18/2020,227
3/19/2020,309
3/20/2020,369
3/21/2020,450
3/22/2020,514
3/23/2020,579
3/24/2020,685
3/25/2020,790
3/26/2020,893
3/27/2020,1046
3/28/2020,1155
3/29/2020,1285
3/30/2020,1414
3/31/2020,1528
4/1/2020,1677
4/2/2020,1790
4/3/2020,1986
4/4/2020,2092
4/5/2020,2273
4/6/2020,2491
4/7/2020,2738
4/8/2020,2956
4/9/2020,3293
4/10/2020,3512
