TransactionID,Product
23873,citrus fruit
23873,semi-finished bread
23873,margarine
23873,ready soups
23874,tropical fruit
23874,yogurt
23874,coffee
23875,whole milk
23876,pip fruit
23876,yogurt
23876,cream cheese 
23876,meat spreads
23877,other vegetables
23877,whole milk
23877,condensed milk
23877,long life bakery product
23878,whole milk
23878,butter
23878,yogurt
23878,rice
23878,abrasive cleaner
23879,rolls/buns
23880,other vegetables
23880,UHT-milk
23880,rolls/buns
23880,bottled beer
23880,liquor (appetizer)
23881,pot plants
23882,whole milk
23882,cereals
23883,tropical fruit
23883,other vegetables
23883,white bread
23883,bottled water
23883,chocolate
23884,citrus fruit
23884,tropical fruit
23884,whole milk
23884,butter
23884,curd
23884,yogurt
23884,flour
23884,bottled water
23884,dishes
23885,beef
23886,frankfurter
23886,rolls/buns
23886,soda
23887,chicken
23887,tropical fruit
23888,butter
23888,sugar
23888,fruit/vegetable juice
23888,newspapers
23889,fruit/vegetable juice
23890,packaged fruit/vegetables
23891,chocolate
23892,specialty bar
23893,other vegetables
23894,butter milk
23894,pastry
23895,whole milk
23896,tropical fruit
23896,cream cheese 
23896,processed cheese
23896,detergent
23896,newspapers
23897,tropical fruit
23897,root vegetables
23897,other vegetables
23897,frozen dessert
23897,rolls/buns
23897,flour
23897,sweet spreads
23897,salty snack
23897,waffles
23897,candy
23897,bathroom cleaner
23898,bottled water
23898,canned beer
23899,yogurt
23900,sausage
23900,rolls/buns
23900,soda
23900,chocolate
23901,other vegetables
23902,brown bread
23902,soda
23902,fruit/vegetable juice
23902,canned beer
23902,newspapers
23902,shopping bags
23903,yogurt
23903,beverages
23903,bottled water
23903,specialty bar
23904,hamburger meat
23904,other vegetables
23904,rolls/buns
23904,spices
23904,bottled water
23904,hygiene articles
23904,napkins
23905,root vegetables
23905,other vegetables
23905,whole milk
23905,beverages
23905,sugar
23906,pork
23906,berries
23906,other vegetables
23906,whole milk
23906,whipped/sour cream
23906,artif. sweetener
23906,soda
23906,abrasive cleaner
23907,beef
23907,grapes
23907,detergent
23908,pastry
23908,soda
23909,fruit/vegetable juice
23910,canned beer
23911,root vegetables
23911,other vegetables
23911,whole milk
23911,dessert
23912,citrus fruit
23912,zwieback
23912,newspapers
23913,sausage
23913,rolls/buns
23913,soda
23913,canned beer
23913,specialty bar
23913,shopping bags
23914,tropical fruit
23914,root vegetables
23914,whole milk
23914,yogurt
23914,domestic eggs
23914,brown bread
23914,pastry
23914,sugar
23914,cereals
23914,coffee
23914,soda
23914,waffles
23914,candy
23915,berries
23915,yogurt
23916,canned beer
23917,butter milk
23917,yogurt
23917,cream cheese 
23917,spread cheese
23917,rolls/buns
23917,bottled water
23917,soda
23917,newspapers
23918,coffee
23919,pastry
23919,bottled water
23920,rolls/buns
23921,misc. beverages
23922,root vegetables
23922,other vegetables
23922,butter
23922,curd
23922,whipped/sour cream
23922,UHT-milk
23922,hard cheese
23922,rolls/buns
23922,bottled water
23922,long life bakery product
23923,sausage
23923,rolls/buns
23923,cat food
23923,newspapers
23924,canned beer
23925,ham
23925,grapes
23925,other vegetables
23925,whole milk
23926,turkey
23926,tropical fruit
23926,other vegetables
23926,curd
23926,domestic eggs
23926,brown bread
23926,semi-finished bread
23926,margarine
23926,baking powder
23926,fruit/vegetable juice
23927,whole milk
23927,yogurt
23927,processed cheese
23927,pickled vegetables
23927,soda
23928,whole milk
23928,curd
23928,yogurt
23928,pastry
23929,packaged fruit/vegetables
23929,brown bread
23929,canned beer
23930,rolls/buns
23930,oil
23930,bottled water
23930,chewing gum
23930,chocolate marshmallow
23930,hygiene articles
23930,napkins
23931,ham
23931,beef
23931,whipped/sour cream
23931,ice cream
23931,rolls/buns
23931,cat food
23932,rolls/buns
23932,pastry
23932,sugar
23933,other vegetables
23933,whole milk
23933,frozen vegetables
23933,canned fish
23933,salty snack
23933,seasonal products
23933,detergent
23934,sausage
23934,pastry
23935,sausage
23935,beef
23935,whole milk
23936,frankfurter
23936,tropical fruit
23936,rolls/buns
23936,brown bread
23936,sugar
23937,rolls/buns
23937,pastry
23937,soda
23938,whole milk
23939,curd cheese
23939,coffee
23940,red/blush wine
23940,newspapers
23941,sausage
23941,whole milk
23941,curd
23942,tropical fruit
23942,pip fruit
23942,berries
23942,whole milk
23942,frozen potato products
23942,rolls/buns
23942,pickled vegetables
23942,chocolate
23943,red/blush wine
23944,whole milk
23944,butter
23944,margarine
23944,specialty fat
23944,specialty chocolate
23944,candles
23944,flower (seeds)
23945,frankfurter
23945,citrus fruit
23945,whole milk
23945,domestic eggs
23945,oil
23945,sparkling wine
23945,specialty chocolate
23945,newspapers
23946,whole milk
23946,meat spreads
23946,soda
23947,frozen potato products
23948,other vegetables
23948,whole milk
23948,rolls/buns
23948,sugar
23949,citrus fruit
23949,whole milk
23949,curd
23949,butter milk
23949,pastry
23950,flour
23950,salt
23950,bottled water
23950,fruit/vegetable juice
23950,bottled beer
23951,sugar
23951,bottled water
23951,soda
23951,bottled beer
23952,frozen meals
23952,coffee
23953,chocolate
23954,root vegetables
23954,whole milk
23954,frozen vegetables
23954,domestic eggs
23954,rolls/buns
23954,oil
23954,margarine
23954,canned vegetables
23954,fruit/vegetable juice
23954,bathroom cleaner
23955,root vegetables
23955,onions
23955,hard cheese
23955,frozen vegetables
23956,herbs
23956,condensed milk
23956,frozen vegetables
23956,salt
23956,oil
23956,white wine
23956,candles
23957,bottled water
23958,sausage
23958,root vegetables
23958,onions
23958,yogurt
23958,rolls/buns
23958,brandy
23958,detergent
23959,coffee
23959,newspapers
23960,pork
23960,other vegetables
23960,whipped/sour cream
23961,berries
23961,yogurt
23962,soda
23963,berries
23964,fruit/vegetable juice
23964,salty snack
23964,candles
23965,citrus fruit
23965,butter milk
23965,yogurt
23965,cream cheese 
23966,pork
23966,hamburger meat
23966,citrus fruit
23966,berries
23966,onions
23966,whipped/sour cream
23966,rice
23966,coffee
23966,chocolate
23967,detergent
23968,grapes
23968,photo/film
23969,sausage
23969,sliced cheese
23969,rolls/buns
23969,brown bread
23969,fruit/vegetable juice
23969,canned beer
23969,red/blush wine
23969,waffles
23969,shopping bags
23970,chicken
23970,hamburger meat
23970,citrus fruit
23970,tropical fruit
23970,root vegetables
23970,other vegetables
23970,butter
23970,pasta
23970,oil
23970,detergent
23971,whole milk
23971,yogurt
23971,brown bread
23972,citrus fruit
23972,tropical fruit
23973,soda
23973,misc. beverages
23974,sausage
23974,pork
23974,grapes
23974,whole milk
23974,rolls/buns
23974,pastry
23974,soda
23974,specialty bar
23974,bathroom cleaner
23975,frankfurter
23975,rolls/buns
23975,bottled water
23976,sausage
23976,whole milk
23976,yogurt
23976,coffee
23976,fruit/vegetable juice
23976,bottled beer
23976,softener
23976,napkins
23976,photo/film
23976,shopping bags
23977,soda
23978,rolls/buns
23978,fruit/vegetable juice
23979,beef
23979,citrus fruit
23979,berries
23979,root vegetables
23979,brown bread
23979,detergent
23980,whole milk
23980,whipped/sour cream
23980,rolls/buns
23980,soda
23980,waffles
23980,candy
23980,cling film/bags
23981,processed cheese
23982,tropical fruit
23982,pip fruit
23983,frankfurter
23983,sausage
23983,root vegetables
23983,other vegetables
23983,rolls/buns
23983,oil
23983,pickled vegetables
23983,bottled beer
23983,chewing gum
23983,dishes
23984,packaged fruit/vegetables
23984,bottled water
23985,whole milk
23985,dessert
23985,frozen vegetables
23985,rolls/buns
23985,margarine
23985,bottled water
23985,red/blush wine
23985,newspapers
23986,berries
23986,whipped/sour cream
23987,citrus fruit
23987,berries
23987,UHT-milk
23987,processed cheese
23988,tropical fruit
23988,whole milk
23988,yogurt
23989,hamburger meat
23989,whole milk
23989,frozen vegetables
23989,rolls/buns
23989,bottled beer
23989,sparkling wine
23990,hamburger meat
23990,other vegetables
23990,whole milk
23990,frozen vegetables
23990,domestic eggs
23990,soda
23990,dishes
23991,whole milk
23991,cream cheese 
23991,soda
23992,fish
23992,other vegetables
23992,pastry
23992,margarine
23992,coffee
23992,long life bakery product
23992,male cosmetics
23992,shopping bags
23993,frankfurter
23993,sausage
23993,long life bakery product
23993,waffles
23994,packaged fruit/vegetables
23994,dessert
23994,semi-finished bread
23994,canned beer
23995,pastry
23995,soda
23996,other vegetables
23996,red/blush wine
23997,misc. beverages
23998,frankfurter
23998,sausage
23998,citrus fruit
23998,tropical fruit
23998,pip fruit
23998,whole milk
23998,hard cheese
23998,cream cheese 
23998,domestic eggs
23998,rice
23998,sugar
23998,canned fruit
23998,misc. beverages
23998,fruit/vegetable juice
23998,hygiene articles
23999,sparkling wine
24000,specialty bar
24001,sausage
24001,butter milk
24001,rolls/buns
24002,curd cheese
24003,frankfurter
24003,dessert
24004,whole milk
24004,yogurt
24004,beverages
24004,brown bread
24004,shopping bags
24005,newspapers
24006,berries
24006,soda
24007,curd
24007,flour
24007,liquor (appetizer)
24008,tropical fruit
24008,other vegetables
24008,coffee
24009,soda
24010,rolls/buns
24010,Instant food products
24011,canned beer
24012,canned beer
24013,frankfurter
24013,sausage
24013,whole milk
24013,rolls/buns
24013,margarine
24014,other vegetables
24014,misc. beverages
24014,canned beer
24015,whole milk
24015,frozen vegetables
24016,whole milk
24017,citrus fruit
24017,butter
24017,cream cheese 
24017,white bread
24017,oil
24017,margarine
24017,newspapers
24018,frankfurter
24018,rolls/buns
24019,frankfurter
24019,ham
24019,pip fruit
24019,other vegetables
24019,whole milk
24019,soft cheese
24019,frozen vegetables
24019,rolls/buns
24019,sugar
24019,baking powder
24020,butter milk
24020,yogurt
24020,honey
24020,soda
24020,detergent
24021,hamburger meat
24021,citrus fruit
24021,onions
24021,rolls/buns
24021,bottled water
24021,dental care
24022,pasta
24022,popcorn
24023,other vegetables
24023,whole milk
24023,meat spreads
24023,cake bar
24023,chocolate
24023,shopping bags
24024,sausage
24024,pork
24024,citrus fruit
24024,dessert
24024,white bread
24024,dishes
24024,candles
24025,rolls/buns
24026,grapes
24026,other vegetables
24026,curd
24026,dessert
24026,yogurt
24026,napkins
24027,root vegetables
24027,other vegetables
24027,whole milk
24027,yogurt
24027,beverages
24027,soft cheese
24027,frozen vegetables
24027,fruit/vegetable juice
24027,bottled beer
24028,coffee
24028,shopping bags
24029,popcorn
24030,whole milk
24030,rolls/buns
24030,sugar
24030,bottled water
24030,soda
24031,tropical fruit
24031,other vegetables
24031,packaged fruit/vegetables
24031,whole milk
24031,snack products
24032,beef
24032,herbs
24032,flour
24032,cling film/bags
24032,flower soil/fertilizer
24033,whole milk
24033,butter
24033,dessert
24033,rolls/buns
24034,frankfurter
24034,soda
24034,chewing gum
24035,tropical fruit
24035,specialty cheese
24035,bottled water
24036,canned beer
24037,finished products
24037,other vegetables
24037,frozen vegetables
24037,bottled beer
24038,beverages
24038,soda
24039,hamburger meat
24039,root vegetables
24039,whole milk
24040,whole milk
24040,pastry
24040,long life bakery product
24041,finished products
24041,white wine
24041,shopping bags
24042,other vegetables
24043,ham
24043,tropical fruit
24043,other vegetables
24043,whole milk
24043,white bread
24043,brown bread
24043,fruit/vegetable juice
24043,bottled beer
24044,other vegetables
24045,curd
24045,butter milk
24045,cocoa drinks
24045,salty snack
24045,popcorn
24046,bottled beer
24047,curd
24047,dessert
24047,soda
24047,salty snack
24047,waffles
24047,cake bar
24047,chocolate
24047,shopping bags
24048,whole milk
24048,cream cheese 
24048,cereals
24048,dog food
24049,whole milk
24049,salt
24050,dessert
24050,ice cream
24051,sausage
24051,soft cheese
24051,coffee
24052,other vegetables
24052,bottled water
24052,waffles
24052,dishes
24052,shopping bags
24053,ham
24053,whole milk
24053,rolls/buns
24054,other vegetables
24054,ice cream
24055,other vegetables
24055,bottled water
24056,soda
24056,bottled beer
24056,white wine
24056,prosecco
24057,herbs
24057,candy
24058,frankfurter
24058,ham
24058,tropical fruit
24058,pip fruit
24058,root vegetables
24058,other vegetables
24058,whole milk
24058,butter
24058,curd
24058,yogurt
24058,whipped/sour cream
24058,soft cheese
24058,sliced cheese
24058,cream cheese 
24058,frozen meals
24058,frozen fish
24058,domestic eggs
24058,white bread
24058,sugar
24058,cereals
24058,fruit/vegetable juice
24058,bottled beer
24058,waffles
24059,rolls/buns
24059,canned beer
24060,curd
24060,cream cheese 
24060,semi-finished bread
24060,zwieback
24060,cake bar
24060,specialty bar
24060,shopping bags
24061,frankfurter
24061,tropical fruit
24061,whole milk
24061,spread cheese
24061,margarine
24061,shopping bags
24062,other vegetables
24063,dog food
24064,specialty bar
24065,curd
24065,salt
24065,liquor (appetizer)
24065,detergent
24065,shopping bags
24066,frankfurter
24066,rolls/buns
24067,soda
24068,beef
24068,berries
24068,root vegetables
24068,whole milk
24068,dessert
24068,spread cheese
24068,brown bread
24069,canned beer
24070,pork
24070,beef
