id,date,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,price
1000102,20150422T000000,6,3,2400,9373,2400,0,1991,0,47.3262,-122.214,2060,7316,300000
1000102,20140916T000000,6,3,2400,9373,2400,0,1991,0,47.3262,-122.214,2060,7316,280000
3600057,20150319T000000,4,2,1650,3504,760,890,1951,2013,47.5803,-122.294,1480,3504,402500
3800008,20150224T000000,5,1.5,1990,18200,1990,0,1960,0,47.4938,-122.262,1860,8658,178000
6200017,20141112T000000,3,1,1340,21336,1340,0,1945,0,47.4023,-122.273,1340,37703,281000
7600057,20140805T000000,3,2,1410,2700,1410,0,1902,0,47.6029,-122.302,1750,4000,520000
11500890,20150312T000000,3,2.5,3130,8750,3130,0,1991,0,47.6954,-122.103,2860,9003,843000
11501160,20140617T000000,5,2.75,3010,12611,3010,0,1994,0,47.696,-122.102,2890,9456,837700
11510310,20140905T000000,4,2.75,3130,13412,2140,990,1993,0,47.6993,-122.102,2260,9984,835000
11520030,20140624T000000,4,2.5,2341,9594,2341,0,1997,0,47.6993,-122.115,2850,9421,640000
11520640,20140801T000000,4,2.75,3010,10450,3010,0,1996,0,47.6979,-122.112,3010,10530,810000
11900140,20140509T000000,3,2.5,1850,4597,1850,0,2003,0,47.3755,-122.136,2210,5000,254000
16000015,20150417T000000,3,1.5,1070,6601,1070,0,1985,0,47.3115,-122.209,1030,6614,219950
16000397,20141205T000000,2,1,1200,9850,1200,0,1921,0,47.3089,-122.21,1060,5095,189000
16000435,20150316T000000,2,1,1600,8961,1390,210,1949,0,47.3098,-122.21,1502,6798,218500
34001160,20140919T000000,3,2,3030,9374,2100,930,1959,0,47.5289,-122.391,1990,6012,590000
34001304,20150410T000000,5,2.25,2240,5500,1490,750,1959,0,47.5305,-122.391,2010,6050,480000
37000335,20140814T000000,3,1.5,1480,7749,1480,0,1960,0,47.5144,-122.379,1140,5320,446450
37000435,20150214T000000,2,1,1130,5070,1130,0,1955,0,47.5141,-122.377,860,6300,325000
41000454,20140815T000000,2,1,880,9000,880,0,1928,0,47.4672,-122.291,1410,10000,130000
49500090,20141205T000000,4,1.5,1780,7914,1780,0,1962,0,47.5142,-122.163,1350,8069,372000
65000260,20140820T000000,3,2.5,3370,6550,2840,530,1912,2001,47.5442,-122.38,1500,6550,830000
65000400,20141022T000000,4,3,1490,6766,1490,0,1915,0,47.5446,-122.382,1990,6526,570000
66000070,20150406T000000,2,1,630,6550,630,0,1918,0,47.5486,-122.38,1420,6550,315000
84000105,20140507T000000,5,2.25,2060,8632,1030,1030,1962,0,47.4877,-122.335,1010,11680,255000
84000245,20141120T000000,3,1.75,1100,9452,1100,0,1942,0,47.4864,-122.337,1350,9452,190000
84000335,20140626T000000,3,2,1700,11475,970,730,1945,0,47.4851,-122.338,1560,11475,225000
87000245,20140930T000000,3,0.75,1040,42180,1040,0,1947,0,47.4518,-122.199,1270,24090,170000
87000283,20141118T000000,3,2.5,1980,7800,1980,0,1999,0,47.4492,-122.199,1700,20580,359950
98020140,20140708T000000,4,4,3010,7221,3010,0,2004,0,47.5833,-121.97,3490,7518,765000
98020300,20150203T000000,5,2.75,3490,8230,3490,0,2005,0,47.5825,-121.97,3480,7331,759000
98020310,20140520T000000,4,2.5,3230,7331,3230,0,2004,0,47.5823,-121.97,3480,7447,730000
98020350,20150123T000000,4,4,3200,7708,3200,0,2004,0,47.5816,-121.97,3480,7944,720000
98030140,20141013T000000,4,4,3280,8448,3280,0,2007,0,47.5818,-121.973,3730,8030,785500
98030160,20150212T000000,3,3.5,3500,9473,3500,0,2008,0,47.5807,-121.972,3510,7833,797000
100600550,20140804T000000,3,1.5,1300,7370,900,400,1976,0,47.3025,-122.37,1430,7500,226500
100600860,20150324T000000,3,1.75,1050,7854,1050,0,1975,0,47.3011,-122.369,1360,7668,237500
103000116,20140722T000000,3,1.75,2070,5500,1130,940,1946,0,47.6733,-122.301,1800,4400,645000
104530110,20141008T000000,3,2.5,1850,6676,1850,0,1986,0,47.3103,-122.36,1700,6663,268000
104530490,20140516T000000,4,3.5,1850,6519,1130,720,1986,0,47.3087,-122.354,1280,6664,248000
104540820,20140812T000000,3,2.25,1430,5999,1430,0,1987,0,47.3116,-122.358,1600,5999,221000
104550520,20150330T000000,4,2.5,1750,6397,1750,0,1988,0,47.3082,-122.358,1940,6502,270000
104550690,20140725T000000,4,2.75,2390,7330,2390,0,1989,0,47.3061,-122.359,1980,6735,282000
104550740,20141201T000000,3,2.5,2450,7062,2450,0,1993,0,47.3061,-122.36,1960,7200,299000
106000320,20141031T000000,2,1,840,8100,840,0,1948,0,47.7019,-122.366,1100,8220,401000
108000127,20141209T000000,4,3.5,2000,2309,2000,0,2008,0,47.7027,-122.361,1440,1548,456500
109210280,20141111T000000,4,2.25,1950,7280,1950,0,1979,0,47.2957,-122.37,1910,7280,220000
114100745,20140506T000000,6,3,3470,117612,3470,0,1924,0,47.7663,-122.234,2120,17100,475000
114101055,20141223T000000,3,2.5,1720,10031,1720,0,1993,0,47.7688,-122.238,2280,5845,383000
114101500,20150417T000000,4,1.75,1370,9993,1370,0,1918,0,47.7572,-122.228,1650,11592,325000
114101516,20140528T000000,3,1,1430,19901,1430,0,1927,0,47.7558,-122.229,1780,12697,310000
117000003,20140919T000000,4,2.25,1920,3225,1300,620,1923,0,47.5848,-122.384,1960,3750,595000
117000100,20150319T000000,3,1.75,1660,5750,1080,580,1909,0,47.5843,-122.385,2060,5560,680000
121029034,20140624T000000,2,1,2034,13392,1159,875,1947,0,47.3312,-122.503,1156,15961,549000
121059147,20141104T000000,4,2.5,2300,41167,2300,0,1988,0,47.3412,-122.108,2300,21765,392000
123039313,20150410T000000,4,2.5,1920,9000,1920,0,1989,0,47.5153,-122.37,1530,10474,425000
123039633,20140909T000000,3,1.75,1570,6975,1040,530,1979,0,47.5137,-122.37,1280,7813,359950
126059097,20141023T000000,3,3.5,2690,104544,2690,0,1948,1990,47.7717,-122.112,2300,81698,775000
128500260,20140508T000000,4,2.5,2020,6236,2020,0,2002,0,47.2796,-122.247,1940,5076,262000
133000070,20140916T000000,2,1,680,6400,680,0,1943,0,47.5136,-122.316,1240,7800,179900
133000135,20141120T000000,4,1.75,1990,18900,1870,120,1929,0,47.5131,-122.313,1710,12400,290000
148000375,20140619T000000,2,2.5,2540,7089,2540,0,2004,0,47.5747,-122.414,1330,7089,945000
148000705,20150305T000000,4,3.5,3070,4440,2030,1040,1922,2007,47.5732,-122.411,1780,4800,900000
151000075,20150206T000000,3,2.5,2160,3920,2160,0,2014,0,47.5762,-122.415,1500,4920,856000
170000215,20150324T000000,5,2.75,2720,4680,1710,1010,1913,0,47.6612,-122.363,1670,4800,752500
173000025,20140825T000000,3,1,1130,7200,1130,0,1942,0,47.7298,-122.355,1350,1358,316000
179000350,20141105T000000,3,1.5,1010,5000,1010,0,1943,0,47.4925,-122.278,980,5000,194000
179003055,20141113T000000,3,1,1200,7500,1200,0,1905,1989,47.4921,-122.275,1010,7000,210000
185000118,20150223T000000,4,2,1880,7500,980,900,1946,0,47.495,-122.266,1670,14350,212000
191100045,20140703T000000,4,2,2490,9525,2490,0,1968,0,47.5639,-122.217,2770,9525,940000
191101015,20141211T000000,3,1.5,1840,10125,1220,620,1959,0,47.5607,-122.217,2320,10160,830000
192300020,20140521T000000,3,2.75,2100,10362,1510,590,1998,0,47.4347,-121.417,2240,11842,525000
192450300,20140919T000000,3,1.5,1200,15606,1200,0,1985,0,47.4752,-121.755,1210,15606,309950
192460060,20140715T000000,3,1.75,1510,15744,1510,0,1985,0,47.476,-121.755,1470,15744,330000
192460310,20150324T000000,3,1.75,1140,22267,1140,0,1986,0,47.4761,-121.758,1150,15625,269900
194000505,20140904T000000,3,2,1940,6440,970,970,1940,0,47.5664,-122.389,1730,4640,651000
194000575,20141014T000000,4,1,1340,5800,1340,0,1914,0,47.5658,-122.389,1900,5800,455000
200350070,20140602T000000,3,2.75,2930,5569,1860,1070,2004,0,47.7648,-122.164,2580,11045,559900
200510060,20141231T000000,3,2.5,2570,9487,2570,0,1989,0,47.7408,-122.216,2490,9898,605000
203100625,20140529T000000,3,2.5,2620,21587,2620,0,1992,0,47.6384,-121.959,2570,23650,672000
203400090,20140729T000000,4,3.5,3760,57063,2950,810,1998,0,47.6328,-121.964,2870,28945,740000
203600140,20150324T000000,3,2.75,2150,31238,2150,0,1996,0,47.6596,-121.96,2650,38307,595000
203600590,20140627T000000,4,2.5,2770,63118,2770,0,1997,0,47.6622,-121.961,2770,44224,641000
203600600,20150310T000000,4,2.5,3130,60467,3130,0,1996,0,47.6618,-121.962,2780,44224,685530
205000520,20141006T000000,4,2.5,3200,36276,3200,0,1993,0,47.6304,-121.994,2930,33171,737500
208500160,20150107T000000,4,2.5,2430,6099,1470,960,1965,0,47.6777,-122.287,2180,6099,760000
217500135,20150421T000000,4,2.25,2040,9565,1400,640,1959,0,47.7356,-122.335,1890,8580,450000
221049191,20150428T000000,3,2.5,2120,22482,1360,760,1979,0,47.341,-122.265,2330,16016,329500
222069058,20140915T000000,3,3.25,2250,60548,2250,0,2005,0,47.4246,-122.014,2760,84070,729000
222069082,20141217T000000,2,1,1220,75794,1220,0,1963,0,47.4219,-122.007,2010,98010,300000
224059111,20140903T000000,3,1.5,1480,13457,1480,0,1959,0,47.5914,-122.136,2100,10517,475000
224069084,20150325T000000,3,1,1250,150117,1250,0,1975,0,47.5956,-122.009,3060,50055,475000
224069094,20140911T000000,3,2.25,2120,40518,2120,0,1967,0,47.5896,-122.009,2480,13492,530000
225039082,20140514T000000,5,2.5,2540,3832,1760,780,1929,0,47.6848,-122.398,2000,5289,620000
225039175,20140513T000000,5,3,2450,4591,2450,0,1994,0,47.6828,-122.388,1060,5500,525000
225069017,20140714T000000,4,3,2720,183823,2720,0,1975,2007,47.6749,-122.002,2140,173804,850000
226039214,20140612T000000,5,2,1940,7642,1940,0,1957,0,47.7751,-122.38,1940,8724,465250
226039282,20140728T000000,6,2.5,2800,10490,1400,1400,1968,0,47.7735,-122.378,2290,8716,442500
226059078,20150227T000000,2,1,1840,81892,1840,0,1955,0,47.7694,-122.124,2550,40089,375000
235000075,20140718T000000,5,2.75,2540,5022,1540,1000,1955,0,47.5593,-122.3,2510,5182,531000
236400260,20141215T000000,4,1,1440,8250,1440,0,1959,0,47.4325,-122.291,1440,8466,220000
236400320,20140715T000000,4,1,1400,7242,1400,0,1959,0,47.4339,-122.291,1310,7314,238000
239000115,20150408T000000,2,1.75,2330,7280,1450,880,1982,0,47.4282,-122.28,1830,12178,535000
240000058,20150408T000000,4,2.75,3550,13938,2100,1450,1966,0,47.425,-122.283,2050,9000,469000
243000335,20140929T000000,4,1,1560,8450,1560,0,1954,0,47.4552,-122.354,1380,8100,305000
249000115,20140828T000000,3,1,1300,8266,1300,0,1953,0,47.6337,-122.199,1300,8707,650000
251200200,20140627T000000,4,2.25,2020,8424,1380,640,1979,0,47.7262,-122.233,2030,7236,464900
251200240,20140725T000000,4,2.75,2100,7236,1400,700,1979,0,47.7267,-122.232,1900,7519,491500
251300260,20140515T000000,4,2.5,2070,7800,2070,0,1989,0,47.3487,-122.315,1950,7815,255000
252000400,20140908T000000,3,1.75,2100,14850,2100,0,1963,0,47.3622,-122.059,1930,17238,323000
254000100,20140620T000000,4,2.25,2870,5453,2220,650,1926,0,47.5129,-122.388,1660,4800,665900
254000445,20150129T000000,6,3.75,2940,5054,2940,0,1942,2003,47.5122,-122.385,1530,5320,480000
255400070,20140701T000000,5,3.5,3840,8279,3840,0,2001,0,47.6039,-122.059,3570,8279,875000
255520260,20150324T000000,5,3.75,3570,14648,3570,0,2005,0,47.7377,-121.974,3160,7882,624000
257000105,20140520T000000,2,1,950,7692,950,0,1926,0,47.4909,-122.298,1820,8221,192500
257000138,20150115T000000,2,1,850,16400,850,0,1923,0,47.4889,-122.299,1100,14459,280000
259600260,20150122T000000,3,1,1250,7210,1250,0,1964,0,47.6329,-122.121,1530,8800,345000
259600560,20140827T000000,3,1,1220,7771,1220,0,1963,0,47.6326,-122.119,1420,7674,405000
259801110,20140828T000000,3,1.75,1250,7030,1250,0,1965,0,47.6285,-122.118,1460,7210,439000
259900160,20150102T000000,4,3.5,2770,3330,1970,800,2001,0,47.6327,-122.109,2180,3380,748000
263000164,20141217T000000,2,1,830,6030,830,0,1925,0,47.6994,-122.347,1280,6030,425000
263000291,20140904T000000,3,1.75,1540,9450,1040,500,1919,0,47.6985,-122.348,1200,5400,433500
269000070,20150106T000000,4,3,2400,7680,1200,1200,1956,0,47.6466,-122.389,2670,6342,608000
269001360,20150422T000000,4,1.75,2320,5595,1510,810,1956,0,47.6397,-122.388,1840,5596,775000
272000125,20140829T000000,3,1,1200,4000,1200,0,1923,0,47.5881,-122.299,1390,4000,438000
273800100,20141219T000000,4,1.75,1480,9523,1120,360,1959,0,47.3732,-122.217,1590,8300,239900
273900030,20141020T000000,3,1.5,1600,9072,1600,0,1963,0,47.3737,-122.216,1710,8000,267500
274100090,20150108T000000,5,1.75,3290,8000,1790,1500,1968,0,47.3733,-122.214,2380,7000,329500
280610020,20140902T000000,4,3.25,4110,14219,2570,1540,1979,0,47.7382,-122.264,2760,12283,825000
284000223,20140916T000000,3,1.75,2120,10875,1540,580,1977,0,47.504,-122.382,2460,11760,578000
290000055,20140516T000000,2,1,2020,7200,1700,320,1947,0,47.506,-122.384,2020,7200,720000
292000070,20150406T000000,5,2.5,2350,14197,1220,1130,1962,0,47.6005,-122.204,2470,11629,895000
293000165,20140819T000000,3,1.5,2050,6384,1350,700,1958,0,47.5325,-122.378,1590,7214,442000
293610020,20150304T000000,4,2.75,2900,5803,2900,0,2007,0,47.7368,-122.232,2900,6212,637000
293700110,20140926T000000,4,2.5,3890,34513,3890,0,1996,0,47.7749,-122.048,3600,28435,775000
293720140,20140605T000000,3,2.5,2170,4912,2170,0,2003,0,47.7767,-122.239,2010,4395,449950
293760310,20140711T000000,5,4.5,4300,12250,4300,0,2004,0,47.5557,-122.027,3950,12250,975000
293910030,20141008T000000,4,2.5,2570,4412,2570,0,2001,0,47.7076,-122.232,2460,5470,655000
302000545,20150127T000000,4,2.25,2710,22860,1850,860,1962,0,47.3207,-122.266,1700,22860,359000
303000445,20140523T000000,2,1,1300,44431,1300,0,1958,0,47.327,-122.267,1470,14850,175000
304100090,20140722T000000,4,2.25,1500,5393,1500,0,1999,0,47.3378,-122.262,1500,5952,215000
305500140,20150512T000000,3,2.5,2200,4052,2200,0,2005,0,47.4362,-122.178,2310,5082,365000
312000135,20140520T000000,2,1.75,1480,5120,840,640,1951,0,47.558,-122.392,1090,5120,483945
316000160,20140821T000000,3,1,1480,7469,1120,360,1940,0,47.5048,-122.301,1460,7379,260000
318500300,20140919T000000,4,2.75,2640,6240,2640,0,2001,0,47.5788,-122.059,2640,5898,650000
319500570,20140505T000000,4,2.5,2730,10281,2730,0,1996,0,47.6227,-122.029,2750,7220,780000
321059059,20140519T000000,3,1,1290,189486,1290,0,1960,0,47.3356,-122.157,2370,98881,359950
321079066,20150423T000000,3,1.5,1810,349351,1810,0,2002,0,47.3392,-121.897,2480,339332,430000
322059097,20141105T000000,3,1.5,1420,22100,1420,0,1957,0,47.4193,-122.149,1540,21780,269900
323089084,20140827T000000,3,2.5,2400,81892,2400,0,1985,0,47.5028,-121.769,1370,37270,592000
324000350,20150415T000000,4,3,1920,4000,1540,380,1931,0,47.5718,-122.385,1660,4000,667500
324059112,20150325T000000,4,2.75,2060,21344,1460,600,1978,0,47.5934,-122.154,2060,16088,675500
324069015,20140708T000000,4,3.5,3110,108464,3110,0,1979,0,47.592,-122.018,2340,4938,875000
325059171,20140505T000000,3,1,1330,77972,1330,0,1928,1954,47.6891,-122.159,1340,17689,900000
325059286,20140513T000000,5,2.75,3150,7119,3150,0,2013,0,47.6759,-122.151,1560,8384,819900
326049058,20150217T000000,5,1.5,2940,13425,1470,1470,1955,0,47.7632,-122.29,1580,8200,464500
326069104,20140701T000000,3,3.5,3830,221284,3530,300,1993,0,47.7641,-122.023,2920,148539,800000
339350070,20150318T000000,3,2.5,2090,6294,2090,0,2004,0,47.686,-122.095,2520,5735,566000
339500160,20141008T000000,3,1.75,2500,36947,2500,0,1984,0,47.6917,-122.084,2590,28837,662000
339600090,20140925T000000,3,2.5,1360,3718,1360,0,1987,0,47.6827,-122.097,1090,3718,369950
339600110,20140923T000000,3,2.5,1610,3755,1610,0,1987,0,47.6825,-122.097,1300,3823,395000
339600460,20141017T000000,3,2.5,1360,3188,1360,0,1986,0,47.6831,-122.096,1090,3188,419500
342000570,20140909T000000,2,1,1080,3600,1080,0,1922,0,47.6078,-122.291,2230,4500,429000
369000881,20140905T000000,4,4,2680,6000,1380,1300,1962,2014,47.6557,-122.388,1930,6000,777000
375000165,20140723T000000,4,3,2290,2350,1610,680,1924,2011,47.574,-122.415,1610,3820,991700
